
State Machine - |mcu|t_1017_3:t_1017_31|ps
Name ps.1111 ps.1110 ps.1101 ps.1100 ps.1011 ps.1010 ps.1001 ps.1000 ps.0111 ps.0110 ps.0101 ps.0100 ps.0011 ps.0010 ps.0001 ps.0000 
ps.0000 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
ps.0001 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 
ps.0010 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 
ps.0011 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 
ps.0100 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 
ps.0101 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 
ps.0110 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 
ps.0111 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 
ps.1000 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 
ps.1001 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 
ps.1010 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 
ps.1011 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 
ps.1100 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 
ps.1101 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 
ps.1110 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 
ps.1111 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 
